date,temp,humd,salt,ec,ph,n,p,k,light
07/14/2024 04:54:14 PM,37.5,23.7,312,390,5.81,25,34,86,946.97
07/14/2024 05:54:22 PM,34.6,23.4,324,386,5.75,25,34,85,594.29
07/14/2024 06:54:31 PM,34.2,23.3,324,383,5.7,24,33,84,13.4
07/14/2024 07:54:42 PM,33.7,23.3,324,380,5.66,24,33,84,5.88
07/14/2024 08:54:50 PM,33.2,23.3,325,378,5.62,24,33,83,5.18
07/14/2024 09:54:59 PM,32.7,23.2,325,375,5.58,24,33,83,4.71
07/14/2024 10:55:07 PM,32.5,23.2,324,373,5.54,24,33,83,4.65
07/14/2024 11:55:16 PM,32.4,23.2,323,371,5.52,24,33,82,4.66
07/15/2024 12:55:24 AM,32,23.1,323,369,5.49,24,32,82,4.62
07/15/2024 01:55:32 AM,31.6,23.1,325,368,5.47,24,32,82,4.67
07/15/2024 02:55:49 AM,31.8,23.2,323,367,5.47,24,32,82,4.61
07/15/2024 03:55:58 AM,31.9,23.1,322,367,5.47,24,32,81,4.32
07/15/2024 04:56:06 AM,31.5,23.1,324,366,5.46,24,32,81,4.25
07/15/2024 05:56:17 AM,31.3,23.1,324,365,5.44,24,32,81,148.31
07/15/2024 06:56:26 AM,31.9,23.2,321,365,5.45,24,32,81,1855.08
07/15/2024 07:56:34 AM,34.6,23.3,309,368,5.48,24,32,82,7008.36
07/15/2024 08:56:42 AM,33.7,23.1,315,370,5.54,24,33,82,1900.21
07/15/2024 09:56:51 AM,33.9,22.9,313,369,5.56,24,32,82,2390.46
07/15/2024 10:56:59 AM,34,22.9,312,368,5.6,24,32,82,1796.13
07/15/2024 11:57:07 AM,34.5,22.8,308,366,5.63,24,32,81,1945.96
07/15/2024 12:57:18 PM,35.1,22.8,304,366,5.7,24,32,81,2217.81
07/15/2024 01:57:31 PM,35.1,22.7,303,364,5.74,23,32,81,1777.24
07/15/2024 02:57:42 PM,36.4,22.7,296,364,5.8,23,32,81,1810.42
07/15/2024 03:57:58 PM,40,22.7,283,368,6.05,24,32,82,1863.83
07/15/2024 04:58:08 PM,39,22.3,286,366,6.19,24,32,81,1333.19
07/15/2024 05:58:20 PM,35.1,22,298,358,6.14,23,32,80,442.4
07/15/2024 06:58:31 PM,34.9,22,296,354,6.07,23,31,79,8.07
07/15/2024 07:58:40 PM,34.1,21.9,297,351,6.02,23,31,79,97.92
07/15/2024 08:58:51 PM,33.4,21.8,296,346,5.94,23,31,78,5.53
07/15/2024 09:58:58 PM,33.2,21.9,294,342,5.86,22,31,77,5.44
07/15/2024 10:59:08 PM,32.9,21.8,293,339,5.85,22,30,77,5.09
07/15/2024 11:59:19 PM,32.4,21.7,292,335,5.82,22,30,76,5.08
07/16/2024 12:59:28 AM,32,21.7,291,332,5.79,22,30,76,5.09
07/16/2024 01:59:39 AM,32,21.7,290,330,5.8,22,30,75,5.08
07/16/2024 02:59:47 AM,31.5,21.6,291,328,5.8,22,30,75,5.1
07/16/2024 03:59:58 AM,31.6,21.7,290,328,5.8,22,30,75,4.88
07/16/2024 05:00:07 AM,31,21.6,291,326,5.78,22,30,75,6.07
07/16/2024 06:00:15 AM,30.8,21.7,290,324,5.75,21,29,74,464.92
07/16/2024 07:00:24 AM,31.3,21.7,287,323,5.76,21,29,74,992.49
07/16/2024 08:00:32 AM,43.5,22.4,247,339,6.01,22,30,77,16419.59
07/16/2024 09:00:45 AM,34.7,21.4,282,337,5.97,22,30,76,1795.98
07/16/2024 10:00:51 AM,34.6,21.4,277,330,5.91,22,30,75,2026.38
07/16/2024 11:01:00 AM,34.6,21.4,274,326,5.91,22,30,75,1951.86
07/16/2024 12:01:09 PM,35,21.4,270,324,5.92,21,29,74,1974.39
07/16/2024 01:01:19 PM,35.7,21.4,266,323,5.93,21,29,74,1806.85
07/16/2024 02:01:29 PM,35.5,21.3,265,320,5.93,21,29,74,1982.43
07/16/2024 03:01:39 PM,37,21.3,258,320,6,21,29,74,1927.06
07/16/2024 04:01:48 PM,38.9,21.1,251,321,6.23,21,29,74,2290.03
07/16/2024 05:01:57 PM,37,20.9,256,318,6.28,21,29,73,1137.76
07/16/2024 06:02:06 PM,35.2,20.8,258,311,6.35,21,29,72,553.28
07/16/2024 07:02:15 PM,33.7,20.6,260,305,6.28,21,28,71,6.36
07/16/2024 08:02:23 PM,33.3,20.6,259,302,6.4,20,28,70,5.33
07/16/2024 09:02:32 PM,32.6,20.6,258,297,6.34,20,28,70,5.33
07/16/2024 10:02:41 PM,32.2,20.5,256,293,6.24,20,27,69,5.21
07/16/2024 11:02:49 PM,32.3,20.5,254,291,6.18,20,27,69,5.25
07/17/2024 12:02:58 AM,31.7,20.5,254,288,6.14,20,27,68,5.24
07/17/2024 01:03:07 AM,31.2,20.5,254,286,6.1,20,27,68,5.23
07/17/2024 02:03:16 AM,31.2,20.5,251,282,6.06,19,27,67,5.22
07/17/2024 03:05:01 AM,31.1,20.5,249,280,6.02,19,26,67,4.97
07/17/2024 04:05:10 AM,30.7,20.5,248,277,6.01,19,26,66,5.06
07/17/2024 05:05:19 AM,30.7,20.5,247,275,6,19,26,66,8.79
07/17/2024 06:05:27 AM,30.5,20.4,246,274,5.98,19,26,66,552.98
07/17/2024 07:05:36 AM,30.9,20.4,244,273,5.94,19,26,66,11809.99
07/17/2024 08:05:45 AM,41.2,34.2,531,703,5.24,40,56,139,17822.91
07/17/2024 09:05:54 AM,32.8,29.3,494,571,5.1,34,46,116,1567.5
07/17/2024 10:06:04 AM,33.3,27.8,420,490,5.15,30,41,103,1564.08
07/17/2024 11:06:19 AM,33.8,27,380,446,5.23,28,38,95,2249.19
07/17/2024 12:06:28 PM,33.8,26.3,371,436,5.34,27,37,93,2482.21
07/17/2024 01:06:42 PM,34.3,25.9,361,428,5.43,27,37,92,2609.32
07/17/2024 02:06:48 PM,34.5,25.5,353,420,5.47,26,36,91,2180.25
07/17/2024 04:07:06 PM,33.3,24.7,349,407,5.47,26,35,88,601.18
07/17/2024 05:07:15 PM,32.9,24.5,345,400,5.47,25,35,87,672.29
07/17/2024 06:07:24 PM,32.9,24.3,342,396,5.49,25,34,86,152.1
07/17/2024 07:07:38 PM,30.8,24.1,345,385,5.44,25,34,85,5.39
07/17/2024 08:07:48 PM,29.9,23.9,342,375,5.41,24,33,83,5.35
07/17/2024 09:08:00 PM,29.4,23.9,342,372,5.39,24,33,82,5.21
07/17/2024 10:08:09 PM,29.8,24,338,370,5.39,24,33,82,5.19
07/17/2024 11:08:19 PM,29.5,23.9,337,368,5.39,24,32,82,5.17
07/18/2024 12:08:31 AM,29.2,23.9,336,364,5.39,23,32,81,5.14
07/18/2024 01:08:40 AM,29.2,23.8,334,362,5.39,23,32,81,5.17
07/18/2024 02:08:49 AM,29.1,23.8,332,360,5.41,23,32,80,5.21
07/18/2024 03:08:58 AM,28.9,23.8,332,358,5.42,23,32,80,4.84
07/18/2024 04:09:07 AM,28.7,23.8,331,356,5.43,23,32,80,4.85
07/18/2024 05:09:16 AM,28.8,23.8,330,355,5.44,23,32,79,12.9
07/18/2024 06:09:25 AM,28.9,23.8,328,354,5.46,23,31,79,416.55
07/18/2024 07:09:33 AM,31,23.9,317,355,5.47,23,32,79,15525.75
07/18/2024 08:09:42 AM,41.9,24.3,279,374,5.85,24,33,83,16614.36
07/18/2024 09:09:51 AM,33.3,23.5,315,368,5.75,24,32,82,1562.39
07/18/2024 10:09:59 AM,33,23.5,311,361,5.74,23,32,80,1691.78
07/18/2024 11:10:08 AM,33.9,23.4,304,358,5.77,23,32,80,1340.23
07/18/2024 12:10:17 PM,34.1,23.3,300,355,5.82,23,32,80,2404.91
07/18/2024 01:10:26 PM,34.6,23.3,296,353,5.88,23,31,79,1848.52
07/18/2024 02:10:35 PM,34.9,23.2,294,352,5.92,23,31,79,2438.31
07/18/2024 03:10:43 PM,36.5,23,285,350,6.02,23,31,79,1717.66
07/18/2024 04:10:52 PM,39.2,23,275,353,6.26,23,31,79,1659.03
07/18/2024 05:11:01 PM,38.1,22.7,276,348,6.28,23,31,78,1184.9
07/18/2024 06:11:10 PM,34.6,22.4,287,342,6.18,22,31,77,442.99
07/18/2024 10:12:02 PM,33,22.2,281,326,5.95,22,30,75,30.31
07/18/2024 11:12:07 PM,32.7,22.1,281,324,5.87,21,29,74,30.21
07/19/2024 12:12:16 AM,32.5,22.1,280,322,5.87,21,29,74,5.16
07/19/2024 01:12:29 AM,32.5,22.1,279,321,5.85,21,29,74,5.17
07/19/2024 02:12:39 AM,32.1,22.1,279,319,5.83,21,29,73,5.14
07/19/2024 03:12:48 AM,31.8,22.1,279,317,5.8,21,29,73,4.88
07/19/2024 04:12:57 AM,31.7,22.1,279,316,5.8,21,29,73,4.86
07/19/2024 05:13:06 AM,31.6,22.1,278,315,5.78,21,29,73,24.96
07/19/2024 06:13:16 AM,31.5,22.1,278,314,5.78,21,29,72,295.19
07/19/2024 08:13:40 AM,35,22.3,264,317,5.88,21,29,73,10206.26
07/19/2024 09:13:51 AM,33.5,22.1,271,317,5.79,21,29,73,2064.39
07/19/2024 10:14:00 AM,33.7,22.1,268,315,5.77,21,29,73,1527.07
07/19/2024 11:14:08 AM,33.8,22,267,314,5.79,21,29,73,1569.32
07/19/2024 12:14:18 PM,34.3,22,263,313,5.78,21,29,72,2225.98
07/19/2024 01:14:29 PM,34.4,21.9,262,311,5.8,21,29,72,2031.64
07/19/2024 02:14:38 PM,34.5,21.8,260,310,5.81,21,28,72,1383.74
07/19/2024 03:14:47 PM,34.9,21.7,258,309,5.85,21,28,72,1362.08
07/19/2024 04:15:02 PM,39,21.9,243,311,5.93,21,29,72,1799.31
07/19/2024 05:15:06 PM,35.3,21.5,254,307,5.95,21,28,71,964.51
07/19/2024 07:15:36 PM,33.3,21.2,256,299,5.9,20,28,70,5.23
07/19/2024 08:15:52 PM,33.1,21.2,254,295,5.9,20,27,69,5.11
07/19/2024 09:16:05 PM,32.7,21.1,253,292,5.88,20,27,69,5.09
07/19/2024 10:16:18 PM,32.8,21.2,251,290,5.9,20,27,69,5.05
07/19/2024 11:16:31 PM,32.5,21.1,251,288,5.9,20,27,68,5.04
07/20/2024 12:16:45 AM,32.2,21.1,250,286,5.89,20,27,68,5.02
07/20/2024 01:16:57 AM,32.4,21.1,248,285,5.9,20,27,68,5
07/20/2024 02:17:08 AM,32.2,21.1,248,284,5.92,19,27,67,4.99
07/20/2024 03:17:17 AM,32,21.1,248,283,5.94,19,27,67,4.68
07/20/2024 04:17:26 AM,31.9,21,248,282,5.93,19,26,67,4.7
07/20/2024 05:17:36 AM,31.7,21.1,248,281,5.93,19,26,67,18.29
07/20/2024 06:17:44 AM,31.8,21.1,247,280,5.9,19,26,67,890.42
07/20/2024 07:17:54 AM,35,21.3,234,281,5.93,19,26,67,5776.64
07/20/2024 08:18:05 AM,34.3,21.2,240,285,6,20,27,68,1025.08
07/20/2024 09:18:14 AM,33.8,21.1,240,283,5.93,19,27,67,3074.17
07/20/2024 10:18:23 AM,34.1,21,239,282,5.94,19,26,67,2274.17
07/20/2024 11:18:36 AM,34.2,21,238,282,5.97,19,26,67,2926.28
07/20/2024 12:21:34 PM,34.6,20.9,236,282,5.98,19,26,67,2336.85
07/20/2024 01:19:21 PM,34.8,20.9,235,281,5.98,19,26,67,2696.3
07/20/2024 03:19:27 PM,36.1,20.8,228,279,6.06,19,26,67,1703.29
07/20/2024 04:19:36 PM,37.7,20.8,223,280,6.05,19,26,67,1516.29
07/20/2024 05:19:45 PM,36.2,20.6,228,279,6.05,19,26,67,1044.63
07/20/2024 06:19:55 PM,34.2,20.4,232,275,5.93,19,26,66,215.44
07/20/2024 07:20:06 PM,34,20.4,230,272,5.9,19,26,65,5.8
07/20/2024 08:08:22 PM,31.6,40.9,645,730,5.69,42,57,143,118.7
07/20/2024 09:08:35 PM,32.3,35.5,552,633,5.56,37,51,127,5
07/20/2024 10:08:47 PM,32.2,33.3,498,570,5.49,34,46,116,4.94
07/20/2024 11:09:05 PM,31.9,32.1,465,529,5.44,32,44,109,5.09
07/21/2024 12:09:16 AM,31.9,31.4,443,504,5.44,30,42,105,5.02
07/21/2024 01:09:29 AM,32,31,431,491,5.47,30,41,103,5.03
07/21/2024 02:09:37 AM,31.5,30.7,418,473,5.44,29,40,100,5
07/21/2024 03:09:46 AM,31.4,30.5,409,462,5.43,28,39,98,4.64
07/21/2024 04:09:54 AM,30.9,30.3,408,456,5.4,28,39,97,4.68
07/21/2024 05:10:02 AM,29.4,42.9,942,1025,5.32,57,78,193,5.35
07/21/2024 06:10:11 AM,29.8,38.4,887,973,5.27,54,74,184,231.9
07/21/2024 07:10:20 AM,30.4,36.6,839,930,5.23,52,71,177,624.55
07/21/2024 08:10:29 AM,31.6,35.7,792,897,5.22,50,69,172,2920.43
07/21/2024 09:10:37 AM,31.7,34.9,730,828,5.18,47,64,160,2230.51
07/21/2024 10:10:46 AM,32.4,34.1,659,756,5.2,43,59,148,2154.05
07/21/2024 11:10:55 AM,32.7,33.4,637,735,5.2,42,58,144,1996.97
07/21/2024 12:11:03 PM,33.4,32.8,606,708,5.2,41,56,140,2058.61
07/21/2024 01:11:12 PM,33.7,32.1,583,684,5.2,39,54,135,1826.52
07/21/2024 02:11:21 PM,34,31.5,563,664,5.23,38,53,132,2458.32
07/21/2024 03:11:29 PM,35.8,30.8,528,642,5.35,37,51,128,2083.84
07/21/2024 04:11:37 PM,38.4,29.9,484,614,5.55,36,49,124,5170.51
07/21/2024 05:11:46 PM,36.2,29.2,469,574,5.36,34,47,117,2170.72
07/21/2024 06:11:55 PM,33.9,28.6,466,550,5.39,33,45,113,901.29
07/21/2024 07:12:03 PM,32.6,28.1,457,527,5.38,32,43,109,5.9
07/21/2024 08:12:12 PM,31.8,27.9,443,503,5.33,30,42,105,5.68
07/21/2024 09:12:21 PM,31.9,27.8,427,486,5.39,30,41,102,88.58
07/21/2024 10:12:30 PM,29.4,46.8,762,829,5.21,47,64,160,7.37
07/21/2024 11:12:38 PM,30.6,40.7,666,741,5.22,42,58,145,4.85
07/22/2024 12:12:47 AM,30.9,39.2,649,725,5.26,42,57,142,4.9
07/22/2024 01:12:56 AM,30.6,38.5,632,703,5.3,40,56,139,4.92
07/22/2024 03:13:18 AM,31.8,39.6,603,689,5.4,19,26,67,4.97
07/22/2024 04:13:29 AM,31.5,39.6,584,646,5.46,19,26,66,5.06
07/22/2024 05:13:44 AM,31.8,39.4,564,639,5.61,19,26,66,8.79
07/22/2024 06:13:58 AM,30.5,38.8,541,634,5.77,19,26,66,552.98
07/22/2024 07:15:14 AM,34.3,37.2,534,633,5.69,37,51,127,14832.25
07/22/2024 08:15:23 AM,38.4,36.2,510,647,6.1,38,52,129,11361.87
07/22/2024 09:15:34 AM,33,35.3,541,627,5.93,37,50,126,1819.98
07/22/2024 10:15:44 AM,32.8,35.2,535,619,5.97,36,50,124,1991.7
07/22/2024 11:15:52 AM,33.3,34.8,522,608,5.99,36,49,123,2629.78
07/22/2024 12:16:01 PM,33.7,34.2,510,599,6.17,35,48,121,2353.77
07/22/2024 01:16:10 PM,33.7,33.9,502,589,6.15,35,48,119,2699.89
07/22/2024 02:16:20 PM,33.8,33.4,501,590,6.22,35,48,119,3405.49
07/22/2024 03:16:28 PM,35.4,32.9,482,583,6.14,34,47,118,3396.91
07/22/2024 04:16:36 PM,36.4,32.2,465,571,6.58,34,46,116,7652.71
07/22/2024 05:16:45 PM,32.5,65.7,782,899,6.57,50,69,172,2275.81
07/22/2024 06:16:54 PM,32.6,45.4,617,711,6.6,41,56,140,77.13
07/22/2024 07:17:03 PM,33,43,595,690,6.55,40,55,136,3.71
07/22/2024 08:17:11 PM,32.7,41.9,589,680,6.44,39,54,135,5.01
07/22/2024 09:17:20 PM,32.4,41.3,584,670,6.5,39,53,133,4.97
07/22/2024 10:17:28 PM,32.3,41,578,663,6.48,38,53,132,4.55
07/22/2024 11:17:39 PM,32.1,40.5,573,654,6.46,38,52,130,4.52
07/23/2024 12:17:48 AM,32.2,40.2,567,649,6.41,38,52,129,4.52
07/23/2024 01:17:57 AM,31.8,40.2,568,646,6.37,38,52,129,4.51
07/23/2024 02:18:05 AM,31.5,39.9,565,639,6.33,37,51,128,4.51
07/23/2024 03:18:14 AM,31.8,39.6,558,634,6.31,37,51,127,4.06
07/23/2024 04:18:22 AM,31.3,39.6,558,628,6.28,37,50,126,4.09
07/23/2024 05:18:31 AM,31.4,39.4,550,621,6.27,36,50,125,25.02
07/23/2024 06:18:41 AM,31.4,39.1,548,618,6.23,36,50,124,353.67
07/23/2024 07:18:49 AM,31.6,38.8,542,613,6.21,36,49,123,1035.31
07/23/2024 08:18:58 AM,31.8,38.9,540,614,6.19,36,49,124,2247.98
07/23/2024 10:19:12 AM,32.9,37.8,519,601,6.18,35,49,121,2586.77
07/23/2024 11:19:21 AM,33.4,37.2,508,593,6.19,35,48,120,1986.46
07/23/2024 12:19:30 PM,33.5,36.5,502,587,6.21,35,48,119,3109.01
07/23/2024 01:19:39 PM,34.2,36.1,494,585,6.21,35,47,119,4458.33
07/23/2024 02:19:47 PM,34.8,35.6,486,581,6.25,34,47,118,4927.06
07/23/2024 03:19:56 PM,36,35,475,580,6.13,34,47,118,2781.11
07/23/2024 04:20:04 PM,38.9,34.3,455,582,6.13,34,47,118,7815.6
07/23/2024 05:20:13 PM,36.6,33.3,459,566,6.38,34,46,115,2625.22
07/23/2024 06:20:22 PM,35,32.7,456,548,6.31,33,45,112,535.99
07/23/2024 07:20:31 PM,34.4,32.3,446,529,6.3,32,44,109,6.4
07/23/2024 08:20:39 PM,33.9,31.9,436,514,6.26,31,42,106,6.16
07/23/2024 09:20:50 PM,33.9,31.5,427,504,6.26,30,42,105,7.09
07/23/2024 10:20:58 PM,32.8,31.1,419,484,6.2,29,40,102,6.32
07/26/2024 09:15:02 PM,27.1,68.6,231,241,5.35,17,24,60,42.2
